Date,España,Italia,Francia
2021-02-13 00:00:00+00:00,3056035.0,2710819.0,12702
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,13535
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,24
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,52
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,3447518
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,18263
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,9302
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,1456
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,16456
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,10907
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,9
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,475
2021-02-14 00:00:00+00:00,3056035.0,2721879.0,6521
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,18293
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,52
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,3451894
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,475
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,9
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,13535
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,9302
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,6521
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,24
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,1456
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,10907
2021-02-15 00:00:00+00:00,3086286.0,2729223.0,16456
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,24
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,6553
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,1456
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,10907
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,16456
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,52
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,475
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,3471268
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,18299
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,9351
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,9
2021-02-16 00:00:00+00:00,3096343.0,2739591.0,13670
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,3495775
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,16456
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,18321
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,24
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,475
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,1456
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,14037
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,6593
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,10907
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,9
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,9455
2021-02-17 00:00:00+00:00,3107172.0,2751657.0,52
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,9
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,9455
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,11562
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,18335
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,3517177
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,475
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,1456
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,16456
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,55
2021-02-18 00:00:00+00:00,3121687.0,2765412.0,14481
